source,target,weight
0,74,0.2979736862130038
0,80,0.08966070509712426
0,83,0.14285417051644464
0,84,0.14278596856051265
0,90,0.2983662105478562
0,100,0.31206148705613956
0,118,0.3053575062843584
0,131,0.11369980202822702
0,136,0.17369502865576342
0,155,0.30239564229460064
0,169,0.3145830274242552
0,175,0.12400257619041005
0,192,0.3133068781891956
0,217,0.2965057324021755
0,219,0.30652296643035004
0,224,0.24696350409345122
0,226,0.13483984342644587
0,233,0.29746320132794085
0,241,0.06716685729410177
0,248,0.21065257084511846
1,2,0.05738224795927193
1,3,0.09140241416557156
1,6,0.07260574590151063
1,8,0.09069853385707162
1,240,0.07281692732965181
1,264,0.074081981230265
1,273,0.06096967137192448
1,274,0.07645352333622751
1,279,0.07352076192873172
1,282,0.08579540088990313
1,289,0.02389642343831629
1,293,0.09851717016325451
1,295,0.07149278240701837
2,1,0.05738224795927193
2,6,0.043288980007569346
2,8,0.049972923156224563
2,184,0.049768653441314106
2,188,0.043210807987799346
2,264,0.04866186235933134
2,273,0.06370121388343007
2,279,0.0533658305004223
2,289,0.03704808526655683
2,293,0.045418399024657885
2,295,0.07054339306147324
3,1,0.09140241416557156
3,8,0.14124602056789204
3,105,0.16283269612174278
3,138,0.06973857310927309
3,143,0.16867620855510138
3,170,0.16633362225954795
3,171,0.15889016675881143
3,184,0.07704794596304605
3,206,0.1688962024141997
3,232,0.16721796439102607
3,240,0.16125585960219221
3,273,0.06729186855110275
3,274,0.16690241408315906
3,279,0.12844039862003281
3,285,0.16729220242470808
3,286,0.16097952725708337
3,288,0.02711683110264214
3,295,0.08623376734781758
3,297,0.10572510818500512
4,18,0.18990963055539575
4,66,0.19876824147144065
4,75,0.19867379901090898
4,80,0.0846238077387612
4,86,0.09012456352132707
4,120,0.20014574869437657
4,129,0.10447541384536223
4,131,0.10453186988599589
4,132,0.2076938413018894
4,136,0.1571719696207484
4,149,0.20396558922181993
4,176,0.20530751329414146
4,226,0.12840557411707149
4,243,0.0483529120251473
4,259,0.11062698841925502
4,270,0.19532154302112797
4,278,0.19759149527189582
4,281,0.05024441488010594
4,297,0.10665229484137104
4,301,0.19563470302489644
5,20,0.31423381150366486
5,68,0.39423678336191703
5,69,0.402137549020509
5,92,0.3900411081221198
5,105,0.3004288770520914
5,106,0.3290534295798222
5,123,0.3945434754300638
5,126,0.34578316613807614
5,141,0.328442593675829
5,154,0.4179732641783739
5,185,0.26020434500403194
5,187,0.39643960988822036
5,193,0.3996811527842125
5,207,0.39871158145531677
5,238,0.2874366404990104
5,257,0.2445100157253596
5,275,0.3935857790737064
5,284,0.4065343426453869
5,285,0.3154827863889533
5,300,0.2977982834076264
6,1,0.07260574590151063
6,2,0.043288980007569346
6,77,0.14878817818304668
6,78,0.16024565990705578
6,106,0.164044464370154
6,139,0.1588372956481894
6,143,0.17058530881670145
6,170,0.16096196232278803
6,171,0.16789628966549222
6,264,0.1417871785366797
6,269,0.1522384389387028
6,286,0.15121497127546765
6,288,0.03245293867692942
6,295,0.1111830404564247
6,300,0.16163022955540154
7,25,0.21813246240898784
7,26,0.22421282068945747
7,129,0.10292133399181945
7,131,0.09957851366452912
7,145,0.14653353905009903
7,171,0.21785884637098346
7,174,0.2249330523414564
7,177,0.21791712647089032
7,230,0.2310162512453705
7,232,0.22123243326075998
7,246,0.2598288621517778
7,281,0.05349671668976678
7,286,0.2281189846784724
7,300,0.2252761445614697
8,1,0.09069853385707162
8,2,0.049972923156224563
8,3,0.14124602056789204
8,20,0.13289715703786747
8,126,0.12065327165150047
8,138,0.06883441353856812
8,184,0.08697178101020292
8,188,0.13511182622310094
8,206,0.12433562459148782
8,271,0.12743315433440508
8,273,0.07544463912087702
8,274,0.143894292511792
8,279,0.1080834074863406
8,282,0.15040321817253344
8,285,0.1272023174288188
8,289,0.023778658372839344
8,293,0.12055748733415719
8,295,0.07317254696624328
9,13,0.5108965311616709
9,16,0.5110994025248347
9,18,0.4064502116937948
9,24,0.4825180602372778
9,26,0.4034870823065964
9,39,0.43674129160438724
9,59,0.5163674129722119
9,94,0.5103292621661665
9,95,0.5132049879233358
9,99,0.5161298574657953
9,101,0.44552305284541416
9,103,0.5077753655807066
9,109,0.4422182598000684
9,130,0.5257893685359774
9,133,0.38746743101466213
9,160,0.5084610443360907
9,174,0.42469510603953453
9,218,0.5123581242776966
9,227,0.47376687669613954
9,234,0.43030050969187666
9,236,0.3988383478158634
9,239,0.4300138624500247
9,256,0.36130981300688936
9,262,0.41848428272625005
9,272,0.46094767405710185
9,292,0.3381725663004739
9,301,0.31163081873542625
10,25,0.4601868605733797
10,58,0.48863104422182113
10,59,0.49958011546905984
10,65,0.48374532460492087
10,85,0.5119521419991496
10,117,0.48840590531123956
10,158,0.4953081144077883
10,162,0.4861163677662054
10,164,0.5144447924197174
10,185,0.257087982733312
10,231,0.5032973114461383
10,238,0.28356576888837187
10,258,0.49246209062626833
10,290,0.3636638703523338
11,14,0.6025288133117546
11,27,0.5930110421186578
11,54,0.5831067564837774
11,87,0.3535315574098604
11,91,0.5828476580878204
11,92,0.5550268682460416
11,94,0.5950572494099371
11,154,0.542750184372187
11,167,0.5862903982239179
11,187,0.45591192065463976
11,209,0.5859276358036776
11,211,0.5897160134056944
11,218,0.5967507451620575
11,235,0.5227594478683495
11,253,0.5946796221424094
11,280,0.35449257007684903
12,32,0.6384921733990857
12,47,0.5609433514119206
12,50,0.6431307887599648
12,54,0.6683288083066468
12,59,0.5920890182635175
12,65,0.6100454162310132
12,69,0.5246136805245132
12,91,0.6497807188537972
12,94,0.6394456372000175
12,107,0.5579153226154475
12,111,0.6397604495827636
12,130,0.5981261279385575
12,147,0.6423859691784604
12,150,0.6432123639163217
12,158,0.6082856034247699
12,162,0.6117035189897934
12,164,0.5973004850816307
12,201,0.5714868324890169
12,235,0.5364714244452424
12,250,0.6382187577558478
12,253,0.6355491944429179
12,258,0.6023372907407505
13,9,0.5108965311616709
13,16,0.5481093084412546
13,42,0.6264440840067774
13,49,0.6363872457524047
13,50,0.6325800445429313
13,53,0.4789694417639184
13,54,0.6221430180930676
13,71,0.5814890565157711
13,85,0.5365736142613216
13,92,0.5196895376466687
13,94,0.645083713220291
13,99,0.5457218568104447
13,107,0.5943587040343042
13,111,0.6221627642230414
13,123,0.5072922466290033
13,165,0.5165071148627692
13,173,0.6254008962219044
13,181,0.6323389593795324
13,191,0.5650459490246975
13,202,0.5701006012518284
13,207,0.524363532619066
13,211,0.6294348530656718
13,235,0.5204493126993419
13,252,0.60169699827478
13,253,0.6225481363379775
13,258,0.5832086503648276
13,284,0.5458866757679468
13,294,0.5531004515568969
14,11,0.6025288133117546
14,27,0.686871940982904
14,40,0.6992599512396994
14,42,0.6379044960070509
14,46,0.6550209050874378
14,51,0.641438056912161
14,54,0.6910058134590815
14,63,0.715417353856793
14,65,0.6036487056064689
14,92,0.5311579074023124
14,94,0.6886624690829215
14,151,0.7087142308455161
14,152,0.7255506415995857
14,167,0.6511228069712616
14,168,0.6559260483707409
14,172,0.7021409275477617
14,180,0.6344403776981437
14,181,0.6179205339450312
14,186,0.580050827760693
14,199,0.7085006090514699
14,204,0.6828170619132435
14,207,0.5387670285941442
14,209,0.6595701558064512
14,211,0.7100430766261052
14,218,0.6594236386434762
14,220,0.6300345413129351
14,235,0.5179191757996002
14,253,0.7087592217647732
14,294,0.5457914024849428
15,20,0.29408188721750944
15,21,0.3619016190046956
15,53,0.36641031967279714
15,92,0.33916688769271186
15,98,0.35279158935449784
15,143,0.23056567878954426
15,154,0.35559161057209526
15,165,0.3413925154175806
15,187,0.34395463263422127
15,188,0.21160742213572162
15,191,0.33932306827163594
15,207,0.34274999968149117
15,240,0.22873163062157084
15,282,0.19078300515307606
15,294,0.34214666645445957
16,9,0.5110994025248347
16,13,0.5481093084412546
16,17,0.545202498136457
16,27,0.5512073287118613
16,32,0.5396571276458701
16,39,0.43702615331821193
16,42,0.5538736333775658
16,45,0.46066257781829223
16,160,0.5558555258665692
16,164,0.5408148760748268
16,174,0.4420779712329749
16,218,0.5530739957920902
16,229,0.40276393543702826
16,234,0.42498522672506117
16,236,0.41551910161079847
16,239,0.4237119683628962
16,250,0.5488756538815996
16,260,0.3804097818275583
16,261,0.47358618039742284
16,262,0.43759549157846034
16,275,0.435288303354652
16,277,0.5034172392861959
16,284,0.543043601054662
17,16,0.545202498136457
17,19,0.5669508543269893
17,22,0.5204825027426712
17,27,0.5706798221238925
17,102,0.5723763460379131
17,103,0.5661951801096674
17,108,0.5671576051019922
17,156,0.5672117655334992
17,160,0.5639348131571215
17,193,0.4741053739366143
17,202,0.5705712956897998
17,203,0.5621380172661747
17,204,0.5652792008191736
17,250,0.5811843975590467
17,261,0.4846908891253671
17,276,0.5060533677914162
17,277,0.49348751314468453
17,284,0.5415626894018852
18,4,0.18990963055539575
18,9,0.4064502116937948
18,34,0.3981992700077958
18,98,0.40374933706695637
18,100,0.3964140189929273
18,101,0.4001192889023371
18,169,0.40415375295746464
18,179,0.3927124777360622
18,222,0.3940428600865492
18,227,0.3992627576913245
18,248,0.20320307621604958
18,251,0.3905675687586099
18,274,0.2715607688869488
18,278,0.3068542325171755
19,17,0.5669508543269893
19,23,0.5543309648042682
19,28,0.6772896197311729
19,32,0.6884985545099668
19,33,0.6890890063499386
19,36,0.6720843857331303
19,52,0.6317168680167142
19,54,0.6980843249196669
19,59,0.5901935618908591
19,67,0.5695396624165875
19,85,0.5375708773345619
19,91,0.665111264583446
19,95,0.6430899096406647
19,102,0.6253711082134873
19,103,0.5964476874354827
19,107,0.5647409068254893
19,111,0.679238512144197
19,116,0.6054530928996859
19,117,0.5765625088695709
19,124,0.5623879609334627
19,130,0.596921305213391
19,150,0.6952972512142792
19,153,0.5600182192266955
19,156,0.6501827856336643
19,159,0.5625575763709509
19,160,0.6353170374722797
19,166,0.5832916408428029
19,173,0.6697519789619626
19,181,0.6133762228503538
19,190,0.611528824791383
19,202,0.5799954668853938
19,203,0.5731856945942976
19,211,0.6738898674943469
19,221,0.6300846020968665
19,231,0.6262254395419533
19,250,0.6953084494149768
19,252,0.6038978860378909
19,258,0.5915911748150675
20,5,0.31423381150366486
20,8,0.13289715703786747
20,15,0.29408188721750944
20,21,0.3259602928326236
20,106,0.29935749512361104
20,135,0.29994732721465966
20,187,0.3506420468344515
20,188,0.19212613074677476
20,236,0.3055270050545298
20,240,0.22087084676091762
20,262,0.30761934397463314
20,271,0.2714870600768341
20,275,0.30996278066954575
20,280,0.31951522572468916
20,282,0.18646532021486711
21,15,0.3619016190046956
21,20,0.3259602928326236
21,78,0.2118865073967359
21,92,0.36148230848286766
21,105,0.30466507842354973
21,106,0.36372143754338004
21,123,0.357181250742454
21,143,0.23235482949979458
21,154,0.35597001659488503
21,187,0.3539416867526643
21,188,0.1922147733874721
21,206,0.26257778640093776
21,233,0.35503894649139045
21,240,0.2598534611267951
21,261,0.35739683611469786
21,275,0.3739673665413381
21,280,0.3493528738472932
21,282,0.17872984248640753
21,301,0.3032652319973232
22,17,0.5204825027426712
22,29,0.5318331407267426
22,88,0.5047294422484478
22,95,0.5382884288907542
22,114,0.48523760208685474
22,115,0.4251946084503752
22,124,0.523864346932297
22,148,0.36522027940789875
22,160,0.5260977278551059
22,164,0.5230502359778689
22,173,0.5352887672636901
22,190,0.5215164263960691
22,193,0.4794489560245113
22,197,0.4506659911917087
22,212,0.5020845488067706
22,213,0.3791801581893935
22,231,0.5224773509625162
22,245,0.5372980943618477
22,291,0.476005717374517
23,19,0.5543309648042682
23,24,0.4859465320087196
23,32,0.5538998209668112
23,39,0.432999974030115
23,46,0.5519338452024866
23,68,0.5068896210443277
23,91,0.5655755657281648
23,94,0.5602407502093588
23,98,0.5424747970805087
23,100,0.48052320911346746
23,103,0.5784877536467355
23,104,0.49754624881618387
23,108,0.562325692764421
23,118,0.47686052073591984
23,130,0.576617075196631
23,157,0.5394262209974963
23,158,0.5657910454013684
23,161,0.4526662309372895
23,166,0.5686902214126442
23,193,0.4862320270806852
23,276,0.5249465556102876
24,9,0.4825180602372778
24,23,0.4859465320087196
24,59,0.4789236334903092
24,75,0.32476172693463246
