source,target,weight
0,9,0.3785571798002544
0,16,0.37457603952082674
0,39,0.3746088826533564
0,87,0.39079750143432923
0,104,0.380496127800325
0,129,0.18822020276466045
0,133,0.38425056342144825
0,169,0.3842031338240525
0,177,0.3781445213147758
0,236,0.3855343157350145
0,238,0.4183842078000504
0,243,0.20816838867537757
0,278,0.3245092335180591
1,2,0.08129744163774008
1,3,0.1015037996570719
1,6,0.08599706364887788
1,131,0.09203369547709188
1,138,0.08518677332936052
1,139,0.0861495091888258
1,144,0.08714945233385367
1,184,0.1440093543108575
1,240,0.10220864145966722
1,264,0.09125138112581775
1,273,0.09053622913435358
1,279,0.10029526335091489
1,288,0.03032815923053533
1,295,0.029428426068524288
2,1,0.08129744163774008
2,3,0.09999792634495731
2,6,0.08803225258298754
2,138,0.06697470282160124
2,143,0.0755974061832344
2,184,0.08965943772194945
2,240,0.07558675384690529
2,264,0.0835086472323069
2,273,0.09847673977400669
2,279,0.11844695515586946
2,288,0.029512687171563298
2,289,0.07501473380401044
2,295,0.04457463217833002
3,1,0.1015037996570719
3,2,0.09999792634495731
3,6,0.21653974219452035
3,131,0.1818962992197272
3,138,0.03773759491181857
3,139,0.18895836079458667
3,143,0.2174198462666518
3,144,0.19588509861482056
3,184,0.12163216521764034
3,206,0.2139459562659334
3,232,0.19671239075851316
3,240,0.1900535055212289
3,264,0.202375594090367
3,269,0.1886237088968086
3,273,0.15312243133837594
3,279,0.15647189028295938
3,288,0.031998667913225656
3,289,0.06311096364662769
3,293,0.20316941795430182
3,295,0.029837103229578076
4,18,0.23147942377557634
4,61,0.13346902017049644
4,62,0.23759136728193206
4,76,0.2664018671827415
4,86,0.2314065473897108
4,120,0.23249428109829745
4,129,0.18346167723957352
4,146,0.26120368775330227
4,175,0.23224903640355127
4,210,0.2378590968785212
4,226,0.22960474655611332
4,234,0.22982660790019432
4,265,0.1323252935359932
4,281,0.10451028274300819
5,39,0.399576756861636
5,53,0.4083734984109713
5,123,0.4167930107245068
5,126,0.3845473461782871
5,154,0.3889147909624662
5,163,0.388907911979604
5,165,0.40196264379114244
5,174,0.44988955313983153
5,235,0.3918422286106309
5,237,0.2921529779237002
5,274,0.27852980259595234
5,284,0.38588704036970495
6,1,0.08599706364887788
6,2,0.08803225258298754
6,3,0.21653974219452035
6,8,0.16722684050953632
6,20,0.21980420179327229
6,131,0.1724762179385265
6,139,0.23700790734930852
6,143,0.23774630428599552
6,144,0.18713917180267467
6,171,0.22181646604807875
6,184,0.10445152501052284
6,206,0.23554296590627938
6,257,0.2388888253477678
6,264,0.1921073203003766
6,269,0.252250421750824
6,273,0.1405511351765476
6,279,0.11990393844411881
6,289,0.05695095907551759
6,293,0.22908494375793628
6,298,0.23692898057085326
6,300,0.22265958720964876
7,18,0.26523033994790657
7,106,0.28319100396038865
7,139,0.2325920246068428
7,143,0.2417756861515851
7,170,0.26439782074724705
7,171,0.2684584704771416
7,206,0.25476565646261334
7,240,0.24158906702016447
7,257,0.2664619516511064
7,266,0.182734924645099
7,268,0.13335211904405037
7,285,0.28368897365227447
7,286,0.25759088784277295
7,287,0.27044148280591007
7,297,0.15066076665163852
7,298,0.2827533949209723
7,300,0.29200893804446276
8,6,0.16722684050953632
8,188,0.17210703707359817
8,237,0.17823430236170856
8,240,0.18067075467109434
8,271,0.18279923584426627
8,274,0.19798482988966712
8,279,0.12459262182781879
8,282,0.1821902791326839
8,285,0.16692697905583653
8,288,0.030377691586299205
8,289,0.05621706198179033
8,292,0.1684582379473056
8,293,0.1810767052939363
8,297,0.1493070124242839
9,0,0.3785571798002544
9,18,0.40385927090898727
9,23,0.4589710549670464
9,27,0.457916253843477
9,39,0.4942001981840155
9,65,0.45802112540284873
9,92,0.4620604151501221
9,135,0.3952839284470053
9,163,0.4597211445514333
9,187,0.46734076789851936
9,191,0.4769759188378449
9,235,0.4836728277672948
