node_index,station_id,station_name,longitude,latitude,neighbors
0,112,Waihuanlu,121.38849586,31.12298734,"[113, 2011]"
1,113,Lianhua Road,121.39828804,31.132883499,"[112, 114]"
2,114,Jinjiang Amusement Park,121.409494683,31.144053983000003,"[113, 2027]"
3,119,Hengshan Road,121.441944506,31.206619041,"[2025, 2017]"
4,124,Xinzha Road,121.463493379,31.24067856,"[2035, 2039]"
5,127,Zhongshan North Road,121.454688131,31.260741938,"[128, 2034]"
6,128,Yanchang Road,121.450712025,31.273307641,"[129, 127]"
7,129,Shanghai Circus City,121.447341668,31.281257251,"[128, 130]"
8,130,Wenshui Road,121.445587497,31.29447578,"[129, 131]"
9,131,Pengpu Xincun,121.444082899,31.30850675,"[130, 132]"
10,132,Gongkang Road,121.442452627,31.320858825,"[131, 133]"
11,133,Tonghe Xincun,121.436929642,31.332913486,"[132, 134]"
12,134,Hulan Road,121.433106054,31.341600756,"[133, 135]"
13,135,Gongfu Xincun,121.429488802,31.356902294,"[136, 134]"
14,136,Bao'an Highway,121.42634765,31.371233449,"[137, 135]"
15,137,West Youyi Road,121.423323482,31.382958896,"[136, 138]"
16,138,Fujin Road,121.420030689,31.393999581,[137]
17,234,East Xujing,121.295031968,31.190426253,[2014]
18,237,Songhong Road,121.355346112,31.22001095,"[2013, 238]"
19,238,Beixinjing,121.369712386,31.218084283000003,"[237, 239]"
20,239,Weining Road,121.382591045,31.216888017,"[240, 238]"
21,240,Loushanguan Road,121.399743041,31.213019401,"[2043, 239]"
22,247,Lujiazui,121.4979311,31.240237146,"[248, 2019]"
23,248,Dongchang Road,121.511146849,31.235374664,"[2010, 247]"
24,250,Shanghai Science and Technology Museum,121.54035992,31.220820317,"[2010, 251]"
25,251,Century Park,121.546610423,31.211428964,"[250, 2052]"
26,253,Zhangjiang Hi-Tech Park,121.583445308,31.204000442,"[2052, 254]"
27,254,Jinke Road,121.597840355,31.206443837,"[253, 255]"
28,255,Guanglan Road,121.616923077,31.213126633,"[256, 254]"
29,256,Tangzhen,121.652313671,31.216483578,"[257, 255]"
30,257,Chuangxin Central Road,121.669574879,31.215686458,"[256, 258]"
31,258,East Huaxia Road,121.676664195,31.198756563000003,"[257, 259]"
32,259,Chuansha,121.69397627,31.188872391,"[258, 260]"
33,260,Lingkong Road,121.719371563,31.194796045,"[259, 261]"
34,261,Yuandong Avenue,121.751012842,31.201430591,"[260, 262]"
35,262,Haitian 3rd Road,121.792700291,31.170492685,"[261, 263]"
36,263,Pudong International Airport,121.801903153,31.152450366,[262]
37,312,Shilong Road,121.438667977,31.159856731,"[2048, 2027]"
38,314,Caoxi Road,121.433731362,31.178643733,"[2048, 2051]"
39,325,Dongbaoxing Road,121.475714615,31.26190605,"[2005, 2030]"
40,327,Chifeng Road,121.477955068,31.283218029,"[328, 2005]"
41,328,Dabaishu,121.47870274,31.291415275,"[329, 327]"
42,329,Jiangwan Town,121.480588797,31.307468902,"[328, 330]"
43,330,West Yingao Road,121.480433603,31.321846932,"[329, 331]"
44,331,South Changjiang Road,121.487004553,31.333957359,"[330, 332]"
45,332,Songfa Road,121.495949213,31.347075743,"[331, 333]"
46,333,Zhanghuabang,121.494268593,31.359927177,"[332, 334]"
47,334,Songbin Road,121.488635629,31.372264208,"[333, 335]"
48,335,Shuichan Road,121.483768106,31.383177516,"[336, 334]"
49,336,Baoyang Road,121.475066666,31.397184356,"[337, 335]"
50,337,Youyi Road,121.471384511,31.405920883,"[336, 338]"
51,338,Tieli Road,121.456448336,31.409918876,"[337, 339]"
52,339,North Jiangyang Road,121.435081311,31.409673404,[338]
53,413,Lingping Road,121.49643205,31.262993787,"[2032, 2047]"
54,415,Yangshupu Road,121.512674289,31.254056501,"[2032, 416]"
55,416,Pudong Avenue,121.514986935,31.242168231,"[2010, 415]"
56,420,Tangqiao,121.514379872,31.211791632,"[421, 2015]"
57,421,Nanpu Bridge,121.494964097,31.210345047,"[2002, 420]"
58,423,Luban Road,121.470721641,31.201255467,"[2002, 2007]"
59,426,Shanghai Stadium,121.438950452,31.187352492,[2006]
60,502,Chunshen Road,121.381178577,31.100133212,"[2011, 503]"
61,503,Yindu Road,121.385726775,31.091103672,"[502, 505]"
62,505,Zhuanqiao,121.397229638,31.068926951,"[502, 508]"
63,507,Beiqiao,121.405430474,31.04699477,"[508, 505]"
64,508,Jianchuan Road,121.411962619,31.028392219,"[507, 509]"
65,509,Dongchuan Road,121.415276286,31.020129531,"[508, 510]"
66,510, Jingping Road,121.405597024,31.013174969,"[509, 511]"
67,511,Huaning Road,121.390678018,31.00938857,"[512, 510]"
68,512,Wenjing Road,121.376150158,31.005526962,"[513, 511]"
69,513,Minhang Development Zone,121.365118845,31.002572281,[512]
70,622,South Lingyan Road,121.490806173,31.150842633000003,"[2040, 623]"
71,623,Shangnan Road,121.502354461,31.15110376,"[624, 622]"
72,624,West Huaxia Road,121.510363399,31.15192965,"[625, 623]"
73,625,Gaoqing Road,121.511143798,31.161859926,"[624, 626]"
74,626,Dongming Road,121.506212539,31.174923735,"[625, 2023]"
75,628,Linyi Xincun,121.512700268,31.195301069,"[629, 2023]"
76,629,Shanghai Children's Medical Center,121.51890689,31.204842461,"[628, 2015]"
77,633,Yuanshen Sports Center,121.530378145,31.235143094,"[2010, 634]"
78,634,Minsheng Road,121.53961142,31.238147385,"[633, 635]"
79,635,Beiyangjing Road,121.547873193,31.24121507,"[634, 636]"
80,636,Deping Road,121.559841511,31.247492601,"[635, 637]"
81,637,Yunshan Road,121.568640821,31.252628085,"[636, 638]"
82,638,Jinqiao Road,121.577716757,31.259449703,"[637, 639]"
83,639,Boxing Road,121.582521596,31.265715972,"[640, 638]"
84,640,Wulian Road,121.58378743,31.27414907,"[2004, 639]"
85,642,Dongjing Road,121.584663712,31.293153416,"[643, 2004]"
86,643,Wuzhou Avenue,121.585133606,31.304728889,"[642, 644]"
87,644,Zhouhai Road,121.585223441,31.314421091,"[643, 645]"
88,645,South Waigaoqiao Free Trade Zone Station,121.59778165,31.323763133000003,"[644, 646]"
89,646,Hangjin Road,121.589807171,31.337549811,"[645, 647]"
90,647,North Waigaoqiao Free Trade Zone Station,121.582724831,31.349940744,"[648, 646]"
91,648,Gangcheng Road,121.570374974,31.355142146,[647]
92,721,Meilan Lake,121.345259511,31.403775779,[722]
93,722,Luonan Xincun,121.35280146,31.39059269,"[721, 723]"
94,723,Panguang Road,121.351598417,31.365445218,"[722, 724]"
95,724,Liu Hang,121.357774726,31.359381323,"[723, 725]"
96,725,Gucun Park,121.368320304,31.34649161,"[724, 726]"
97,726,Qihua Road,121.368834677,31.324270359,"[725, 727]"
98,727,Shanghai University,121.384324697,31.322373451,"[728, 726]"
99,728,Nanchen Road,121.394081532,31.323554777,"[729, 727]"
100,729,Shangda Road,121.404049079,31.316758855,"[728, 730]"
101,730,Changzhong Road,121.408605124,31.305631244,"[729, 731]"
102,731,Dachang Town,121.411602017,31.29507342,"[730, 732]"
103,732,Xingzhi Road,121.417174701,31.285986202,"[731, 733]"
104,733,Dahua San Road,121.418482486,31.275723943000003,"[732, 734]"
105,734,Xincun Road,121.417997974,31.26563162,"[733, 735]"
106,735,Langao Road,121.417161444,31.257880611,"[2024, 734]"
107,738,Changping Road,121.43788726,31.235646924,"[2050, 2020]"
108,744,Houtan,121.469379488,31.174029921,"[745, 2045]"
109,745,Changqing Road,121.481698094,31.17661023,"[744, 2016]"
110,747,Yuntai Road,121.496129096,31.18446681,"[2016, 2023]"
111,749,South Yanggao Road,121.520047669,31.189639158,"[750, 2023]"
112,750,Jinxiu Road,121.535752807,31.189635096,"[749, 751]"
113,751,Fanghua Road,121.545954276,31.194881433000003,"[2052, 750]"
114,753,Huamu Road,121.558661905,31.213026204,[2052]
115,820,Shendu Highway,121.507905886,31.063523541,[821]
116,821,Lianhang Road,121.506222033,31.075710319,"[820, 822]"
117,822,Jiangyue Road,121.504236848,31.086342078,"[821, 823]"
118,823,Pujiang Town,121.501874632,31.098688359,"[824, 822]"
119,824,Luheng Road,121.493805184,31.120878108000003,"[825, 823]"
120,825,Lingzhao Xincun,121.48489117,31.143021235,"[824, 2040]"
121,827,Yangsi,121.488937814,31.162962578,"[2040, 828]"
122,828,Chengshan Road,121.4918544,31.172546018,"[2016, 827]"
123,830,China Art Museum,121.489343642,31.18724117,"[2016, 2002]"
124,834,Great World,121.474712385,31.229130521,"[2008, 2035]"
125,837,Zhongxing Road,121.464500701,31.255223204,"[2021, 838]"
126,838,North Xizang Road,121.464264315,31.265306644,"[2005, 837]"
127,840,Quyang Road,121.486134081,31.278512493,"[2018, 2005]"
128,842,Anshan Xincun,121.505160723,31.275299223,"[2018, 843]"
129,843,Jiangpu Road,121.513485367,31.276923954,"[842, 844]"
130,844,Huangxing Road,121.523979949,31.280810293,"[843, 845]"
131,845,Middle Yanji Road,121.530621364,31.290009786,"[844, 846]"
132,846,Huangxing Park,121.52862169,31.298126414,"[845, 847]"
133,847,Xiangyin Road,121.527501152,31.307201218000003,"[848, 846]"
134,848,Nenjiang Road,121.527373151,31.316802024,"[849, 847]"
135,849,Shiguang Road,121.527610735,31.324729476,[848]
136,918,South Songjiang Railway Station,121.226390216,30.987130812,[919]
137,919,Zuibaichi,121.224717028,31.002760868000003,"[920, 918]"
138,920,Songjiang Sports Center,121.226364779,31.018055817,"[921, 919]"
139,921,Songjiang New City,121.226340383,31.032245093,"[920, 922]"
140,922,Songjiang University Town,121.228252415,31.056164209,"[921, 923]"
141,923,Dongjing,121.226085386,31.086565625,"[922, 924]"
142,924,Sheshan,121.225311253,31.10625363,"[923, 925]"
143,925,Sijing,121.2559243,31.120403035,"[924, 926]"
144,926,Jiuting,121.315099332,31.139406939,"[925, 927]"
145,927,Zhongchun Road,121.332241062,31.150968837,"[928, 926]"
146,928,Qibao,121.345076273,31.157421516,"[929, 927]"
147,929,Xingzhong Road,121.364298895,31.160014256,"[928, 930]"
148,930,Hechuan Road,121.380123957,31.168432353000004,"[929, 931]"
149,931,Caohejing Hi-Tech Park,121.393065079,31.172459594,"[930, 932]"
150,932,Guilin Road,121.413652527,31.176699229,"[2051, 931]"
151,937,Dapuqiao,121.464086845,31.208456707,"[2033, 2031]"
152,940,Xiaonanmen,121.494041588,31.219075141,"[2036, 941]"
153,941,Shangcheng Road,121.512034464,31.232726476,"[2010, 940]"
154,943,Middle Yanggao Road,121.544387644,31.229674097,[2010]
155,1018,Hangzhong Road,121.350339687,31.167316837,[1019]
156,1019,Ziteng Road,121.360100502,31.171575037,"[1018, 1020]"
157,1020,Longbai Xincun,121.365793331,31.179095825,"[1019, 1045]"
158,1043,Hongqiao Terminal 1,121.342591804,31.193518019000003,"[1044, 2013]"
159,1044,Shanghai Zoo,121.363529229,31.192230792,"[1043, 1045]"
160,1045,Longxi Road,121.375244457,31.196193522,"[1044, 1046, 1020]"
161,1046,Shuicheng Road,121.38734927,31.201321803000003,"[1045, 1047]"
162,1047,Yili Road,121.39921421,31.201064069,"[1048, 1046]"
163,1048,Songyuan Road,121.407543286,31.198348293,"[2044, 1047]"
164,1051,Shanghai Library,121.441741894,31.211194198,"[2056, 2037]"
165,1055,Yuyuan Garden,121.482864468,31.229964559000003,"[2008, 2019]"
166,1058,North Sichuan Road,121.479642061,31.253898054,"[2026, 2047]"
167,1060,Youdian Xincun,121.489789828,31.270427704,"[2018, 2047]"
168,1062,Tongji University,121.501792382,31.283944779,"[2018, 1063]"
169,1063,Guoquan Road,121.50566807,31.291328446,"[1064, 1062]"
170,1064,Wujiaochang,121.510067542,31.2997292,"[1065, 1063]"
171,1065,Jiangwan Stadium,121.509729601,31.305442827,"[1064, 1066]"
172,1066,Sanmen Road,121.50401182,31.315050515,"[1065, 1067]"
173,1067,East Yingao Road,121.502525459,31.323799384,"[1066, 1068]"
174,1068,New Jiangwan City,121.502697658,31.33112066,[1067]
175,1114,Huaqiao,121.099702972,31.300398755,[1115]
176,1115,Guangming Road,121.112634001,31.298066751,"[1114, 1116]"
177,1116,Zhaofeng Road,121.145740322,31.290849897,"[1115, 1117]"
178,1117,Anting,121.157449346,31.29037688,"[1116, 1118]"
179,1118,Shanghai Automobile City,121.176250907,31.28729941,"[1117, 1119]"
180,1119,East Changji Road,121.195922139,31.295550108,"[1120, 1118]"
181,1120,Shanghai Circuit,121.221647938,31.33387003,"[1119, 1134]"
182,1131,North Jiading,121.232947442,31.393474009,[1132]
183,1132,West Jiading,121.223424041,31.379042743000003,"[1131, 1133]"
184,1133,Baiyin Road,121.240967331,31.347225544,"[1132, 1134]"
185,1134,Jiading New City,121.249887524,31.332106143,"[1133, 1135, 1120]"
186,1135,Malu,121.272439838,31.321597357,"[1134, 1137]"
187,1137,Nanxiang,121.318651748,31.298837137,"[1138, 1135]"
188,1138,Taopu Xincun,121.345054448,31.283439299,"[1137, 1139]"
189,1139,Wuwei Road,121.360455468,31.278154062,"[1138, 1140]"
190,1140,Qilianshan Road,121.371234343,31.273492779,"[1139, 1141]"
191,1141,Liziyuan,121.385192546,31.270865609,"[1140, 1142]"
192,1142,Shanghai West Railway Station,121.396085821,31.264540771,"[1141, 1143]"
193,1143,Zhenru,121.402592639,31.252631342,"[1144, 1142]"
194,1144,Fengqiao Road,121.406511864,31.243749563,"[2055, 1143]"
195,1150,Shanghai Swimming Center,121.436739009,31.181366331,"[2025, 2012]"
196,1152,Yunjin Road,121.453824439,31.169478023000003,"[1153, 2012]"
197,1153,Longyao Road,121.455131976,31.161590898000004,"[1152, 2040]"
198,1155,Sanlin,121.507435391,31.14525371,"[2040, 1156]"
199,1156,East Sanlin,121.518661386,31.148597133000003,"[1155, 1157]"
200,1157,Pusan Road,121.534488832,31.153109847,[1156]
201,1159,Yuqiao,121.566686634,31.160429607,[2042]
202,1161,Xiuyan Road,121.594253458,31.140388537,"[2042, 1162]"
203,1162,Kangxin Highway,121.613030242,31.132655073,"[1161, 1163]"
204,1163,Disney Resort,121.663732891,31.143438744,[1162]
205,1220,Qixin Road,121.35721193,31.132914547,[1221]
206,1221,Hongxin Road,121.375669938,31.139418878,"[1220, 1222]"
207,1222,Gudai Road,121.387239321,31.142693849,"[1221, 1223]"
208,1223,Donglan Road,121.387228456,31.15770063,"[1224, 1222]"
209,1224,Hongmei Road,121.392662297,31.162296375,"[1225, 1223]"
210,1225,Hongcao Road,121.40572841,31.166154493,"[1224, 1226]"
211,1226,Guilin Park,121.415287723,31.169028586,"[1225, 2038]"
212,1238,International Cruise Terminal,121.494592057,31.252401124,"[2026, 1239]"
213,1239,Tilanqiao,121.502585748,31.255518759,"[2032, 1238]"
214,1241,Jiangpu Park,121.519166426,31.266534411,"[2032, 1242]"
215,1242,Ningguo Road,121.527936109,31.270559692,"[1241, 1243]"
216,1243,Longchang Road,121.540707808,31.277458786,"[1242, 1244]"
217,1244,Aiguo Road,121.548415693,31.281994036,"[1243, 1245]"
218,1245,Fuxing Island,121.557010351,31.282961224,"[1244, 1246]"
219,1246,Donglu Road,121.57507366,31.284688952,"[2004, 1245]"
220,1248,North Yanggao Road,121.598573379,31.282251196,"[1249, 2004]"
221,1249,Jinjing Road,121.610593785,31.281820276,"[1248, 1250]"
222,1250,Shenjiang Road,121.622624106,31.282334324,"[1249, 2022]"
223,1321,Jinyun Road,121.314864878,31.242815574,[1322]
224,1322,West Jinshajiang Road,121.330754923,31.243072825,"[1321, 1323]"
225,1323,Fengzhuang,121.350698505,31.244292623000003,"[1322, 1324]"
226,1324,South Qilianshan Road,121.362869603,31.239405116,"[1323, 1325]"
227,1325,Zhenbei Road,121.377228761,31.234191683,"[1324, 1326]"
228,1326,Daduhe Road,121.389819686,31.233673981,"[2009, 1325]"
229,1329,Wuning Road,121.425915093,31.236185753,"[2057, 2020]"
230,1331,Jiangning Road,121.440163596,31.246266848,"[2020, 2039]"
231,1333,Shanghai Natural History Museum,121.457823884,31.238327541,"[2041, 2039]"
232,1338,World Expo Museum,121.477251581,31.199280653,"[1339, 2031]"
233,1339,Expo Avenue,121.479708201,31.18501371,[1338]
234,1622,Middle Huaxia Road,121.578857186,31.178233461,"[2042, 2052]"
235,1624,East Zhoupu,121.602754092,31.112309544,"[1625, 2042]"
236,1625,Hesha Hangcheng,121.607093362,31.079974585,"[1624, 1626]"
237,1626,Hangtou East,121.613286958,31.05724005,"[1625, 1627]"
238,1627,Xinchang,121.644868866,31.04780769,"[1626, 1628]"
239,1628,Shanghai Wild Animal Park,121.695438606,31.052487249,"[1627, 1629]"
240,1629,Huinan,121.757556095,31.055964545,"[1628, 1630]"
241,1630,Huinan East,121.789523971,31.02841678,"[1629, 1631]"
242,1631,Shuyuan,121.846216134,30.961601584,"[1632, 1630]"
243,1632,Lingang Avenue,121.90670309,30.925884482,"[1633, 1631]"
244,1633,Dishui Lake,121.925777167,30.909305386,[1632]
245,2001,Zhongtan Road,121.436350839,31.256450861,"[2024, 2034]"
246,2002,South Xizang Road,121.485172565,31.203927157,"[2036, 421, 830, 423]"
247,2003,Zhaojiabang Road,121.445871009,31.200675112,"[2017, 2033, 2025, 2006]"
248,2004,Jufeng Road,121.584260909,31.282831741,"[640, 642, 1248, 1246]"
249,2005,Hongkou Football Stadium,121.47470204,31.273254588,"[840, 325, 838, 327]"
250,2006,Dong'an Road,121.4499314,31.19256869,"[426, 2003, 2045, 2007]"
251,2007,Damuqiao Road,121.458937996,31.195957765,"[2033, 2045, 2006, 423]"
252,2008,Laoximen,121.478279894,31.221015196,"[834, 2036, 2053, 1055]"
253,2009,Jinshajiang Road,121.408591207,31.234008201,"[2057, 2043, 1326, 2055]"
254,2010,Century Avenue,121.522955917,31.230803895,"[416, 2049, 941, 943, 248, 633, 250]"
255,2011,Xinzhuang,121.380839538,31.112983939,"[112, 502]"
