global_timeslot,date,timeslot,startTime,endTime,hour,minute,datetime,weekday
0,20170501,0,60000,61000,60,0,2017-05-01,0
1,20170501,1,61000,62000,61,0,2017-05-01,0
2,20170501,2,62000,63000,62,0,2017-05-01,0
3,20170501,3,63000,64000,63,0,2017-05-01,0
4,20170501,4,64000,65000,64,0,2017-05-01,0
5,20170501,5,65000,70000,65,0,2017-05-01,0
6,20170501,6,70000,71000,70,0,2017-05-01,0
7,20170501,7,71000,72000,71,0,2017-05-01,0
8,20170501,8,72000,73000,72,0,2017-05-01,0
9,20170501,9,73000,74000,73,0,2017-05-01,0
10,20170501,10,74000,75000,74,0,2017-05-01,0
11,20170501,11,75000,80000,75,0,2017-05-01,0
12,20170501,12,80000,81000,80,0,2017-05-01,0
13,20170501,13,81000,82000,81,0,2017-05-01,0
14,20170501,14,82000,83000,82,0,2017-05-01,0
15,20170501,15,83000,84000,83,0,2017-05-01,0
16,20170501,16,84000,85000,84,0,2017-05-01,0
17,20170501,17,85000,90000,85,0,2017-05-01,0
18,20170501,18,90000,91000,90,0,2017-05-01,0
19,20170501,19,91000,92000,91,0,2017-05-01,0
20,20170501,20,92000,93000,92,0,2017-05-01,0
21,20170501,21,93000,94000,93,0,2017-05-01,0
22,20170501,22,94000,95000,94,0,2017-05-01,0
23,20170501,23,95000,100000,95,0,2017-05-01,0
24,20170501,24,100000,101000,10,0,2017-05-01,0
25,20170501,25,101000,102000,10,1000,2017-05-01,0
26,20170501,26,102000,103000,10,2000,2017-05-01,0
27,20170501,27,103000,104000,10,3000,2017-05-01,0
28,20170501,28,104000,105000,10,4000,2017-05-01,0
29,20170501,29,105000,110000,10,5000,2017-05-01,0
30,20170501,30,110000,111000,11,0,2017-05-01,0
31,20170501,31,111000,112000,11,1000,2017-05-01,0
32,20170501,32,112000,113000,11,2000,2017-05-01,0
33,20170501,33,113000,114000,11,3000,2017-05-01,0
34,20170501,34,114000,115000,11,4000,2017-05-01,0
