source,target
0,1
0,255
1,2
2,271
3,269
3,261
4,279
4,283
5,6
5,278
6,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,15
15,16
17,258
18,257
18,19
19,20
20,21
21,287
22,23
22,263
23,254
24,254
24,25
25,296
26,296
26,27
27,28
28,29
29,30
30,31
31,32
32,33
33,34
34,35
35,36
37,292
37,271
38,292
38,295
39,249
39,274
40,41
40,249
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
53,276
53,291
54,276
54,55
55,254
56,57
56,259
57,246
58,246
58,251
59,250
60,255
60,61
60,62
61,62
62,64
62,63
63,64
64,65
65,66
66,67
67,68
68,69
70,284
70,71
71,72
72,73
73,74
74,267
75,76
75,267
76,259
77,254
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,248
85,86
85,248
86,87
87,88
88,89
89,90
90,91
92,93
93,94
94,95
95,96
96,97
97,98
98,99
99,100
100,101
101,102
102,103
103,104
104,105
105,106
106,268
107,294
107,264
108,109
108,289
109,260
110,260
110,267
111,112
111,267
112,113
113,296
114,296
115,116
116,117
117,118
118,119
119,120
120,284
121,284
121,122
122,260
123,260
123,246
124,252
124,279
125,265
125,126
126,249
127,262
127,249
128,262
128,129
129,130
130,131
131,132
132,133
133,134
134,135
136,137
137,138
138,139
139,140
140,141
141,142
142,143
143,144
144,145
145,146
146,147
147,148
148,149
149,150
150,295
151,277
151,275
152,280
152,153
153,254
154,254
155,156
156,157
157,160
158,159
158,257
159,160
160,161
161,162
162,163
163,288
164,300
164,281
165,252
165,263
166,270
166,291
167,262
167,291
168,262
168,169
169,170
170,171
171,172
172,173
173,174
175,176
176,177
177,178
178,179
179,180
180,181
181,185
182,183
183,184
184,185
185,186
186,187
187,188
188,189
189,190
190,191
191,192
192,193
193,194
194,299
195,269
195,256
196,197
196,256
197,284
198,284
198,199
199,200
201,286
202,286
202,203
203,204
205,206
206,207
207,208
208,209
209,210
210,211
211,282
212,270
212,213
213,276
214,276
214,215
215,216
216,217
217,218
218,219
219,248
220,221
220,248
221,222
222,266
223,224
224,225
225,226
226,227
227,228
228,253
229,301
229,264
230,264
230,283
231,285
231,283
232,233
232,275
234,286
234,296
235,236
235,286
236,237
237,238
238,239
239,240
240,241
241,242
242,243
243,244
245,268
245,278
246,280
247,261
247,277
247,269
247,250
250,289
250,251
251,277
251,289
252,280
252,297
253,301
253,287
253,299
254,293
256,292
256,289
257,258
259,293
261,300
261,294
263,270
263,279
264,268
265,270
265,279
265,283
268,299
269,295
269,273
269,281
271,282
272,300
272,285
272,279
272,297
273,295
273,282
274,278
274,291
275,280
275,297
277,300
278,283
279,285
281,288
281,298
282,292
283,285
285,294
285,300
287,290
287,298
288,295
288,290
294,298
297,300
298,301
299,301
